Valor;Moneda;Año;Trimestre
443.046,35;Pesos;2024;2
389.094,34;Pesos;2024;1
152.773,14;Pesos;2023;4
114.535,26;Pesos;2023;3
96.545,56;Pesos;2023;2
74.910,21;Pesos;2023;1
57.468,42;Pesos;2022;4
53.091,16;Pesos;2022;3
50.295,81;Pesos;2022;2
43.640,33;Pesos;2022;1
40.154,08;Pesos;2021;4
39.385,22;Pesos;2021;3
36.298,14;Pesos;2021;2
37.132,46;Pesos;2021;1
33.540,71;Pesos;2020;4
29.068,97;Pesos;2020;3
24.205,23;Pesos;2020;2
21.286,36;Pesos;2020;1
19.949,55;Pesos;2019;4
13.956,68;Pesos;2019;3
13.105,00;Pesos;2019;2
11.307,52;Pesos;2019;1
11.330,30;Pesos;2018;4
8.421,69;Pesos;2018;3
6.222,72;Pesos;2018;2
5.679,96;Pesos;2018;1
5.185,33;Pesos;2017;4
4.811,59;Pesos;2017;3
4.468,23;Pesos;2017;2
4.287,13;Pesos;2017;1
4.710,37;Pesos;2016;4
4.598,33;Pesos;2016;3
4.209,10;Pesos;2016;2
3.223,65;Pesos;2016;1
2.448,56;Pesos;2015;4
2.482,93;Pesos;2015;3
2.442,96;Pesos;2015;2
2.406,72;Pesos;2015;1
2.402,78;Pesos;2014;4
2.495,58;Pesos;2014;3
2.414,41;Pesos;2014;2
1.827,47;Pesos;2014;1
1.792,71;Pesos;2013;4
1.497,92;Pesos;2013;3
1.910,38;Pesos;2013;2
1.909,37;Pesos;2013;1
1.945,43;Pesos;2012;4
1.687,99;Pesos;2012;3
1.698,63;Pesos;2012;2
1.581,05;Pesos;2012;1
1.589,43;Pesos;2011;4
1.444,24;Pesos;2011;3
1.360,63;Pesos;2011;2
1.308,37;Pesos;2011;1
1.207,98;Pesos;2010;4
1.141,36;Pesos;2010;3
1.009,02;Pesos;2010;2
978,11;Pesos;2010;1
892,89;Pesos;2009;4
827,61;Pesos;2009;3
794,19;Pesos;2009;2
697,13;Pesos;2009;1
646,07;Pesos;2008;4
656,48;Pesos;2008;3
689,51;Pesos;2008;2
615,07;Pesos;2008;1
546,06;Pesos;2007;4
469,17;Pesos;2007;3
478,81;Pesos;2007;2
455,33;Pesos;2007;1
434,09;Pesos;2006;4
441,62;Pesos;2006;3
418,41;Pesos;2006;2
362,9;Pesos;2006;1
321,64;Pesos;2005;4
291,18;Pesos;2005;3
290,93;Pesos;2005;2
303,95;Pesos;2005;1
290,64;Pesos;2004;4
271,82;Pesos;2004;3
284,36;Pesos;2004;2
285,57;Pesos;2004;1
260,66;Pesos;2003;4
228,84;Pesos;2003;3
232,44;Pesos;2003;2
269,54;Pesos;2003;1
282,5;Pesos;2002;4
282,91;Pesos;2002;3
212,19;Pesos;2002;2
64,66;Pesos;2002;1
68,52;Pesos;2001;4
63,31;Pesos;2001;3
60,17;Pesos;2001;2
63,49;Pesos;2001;1
63,85;Pesos;2000;4
67,49;Pesos;2000;3
67,49;Pesos;2000;2
67,72;Pesos;2000;1
68,72;Pesos;1998;4
69,23;Pesos;1998;3
70,22;Pesos;1998;2
67,09;Pesos;1998;1
76,28;Pesos;1997;4
78,59;Pesos;1997;3
81,42;Pesos;1997;2
86,25;Pesos;1997;1
88,95;Pesos;1996;4
89,49;Pesos;1996;3
92,94;Pesos;1996;2
90,28;Pesos;1996;1
89,55;Pesos;1995;4
90,12;Pesos;1995;3
91,63;Pesos;1995;2
89,7;Pesos;1995;1
91,94;Pesos;1994;4
90,52;Pesos;1994;3
90,35;Pesos;1994;2
91,41;Pesos;1994;1
82,82;Pesos;1993;4
88,23;Pesos;1993;3
78,94;Pesos;1993;2
77,79;Pesos;1993;1
80,74;Pesos;1992;4
79,51;Pesos;1992;3
79,24;Pesos;1992;2
82,06;Pesos;1992;1
820.350,00;Australes;1991;4
860.045,00;Australes;1991;3
803.174,00;Australes;1991;2
504.553,00;Australes;1991;1
528.708,00;Australes;1990;4
435.934,00;Australes;1990;3
402.345,00;Australes;1990;2
168.534,00;Australes;1990;1
55.943,55;Australes;1989;4
22.652,52;Australes;1989;3
4.470,55;Australes;1989;2
1.578,57;Australes;1989;1
1.381,63;Australes;1988;4
887,17;Australes;1988;3
561,06;Australes;1988;2
425,11;Australes;1988;1
282,6;Australes;1987;4
187,97;Australes;1987;3
150,92;Australes;1987;2
114,35;Australes;1987;1
106,11;Australes;1986;4
72,27;Australes;1986;3
64,44;Australes;1986;2
61,26;Australes;1986;1
60,92;Australes;1985;4
59,44;Australes;1985;3
26.385,00;Pesos Arg.;1985;2
12.915,45;Pesos Arg.;1985;1
7.371,51;Pesos Arg.;1984;4
4.474,07;Pesos Arg.;1984;3
2.972,25;Pesos Arg.;1984;2
2.076,93;Pesos Arg.;1984;1
1.237,94;Pesos Arg.;1983;4
864,56;Pesos Arg.;1983;3
6.583.396,40;Pesos Ley;1983;2
5.157.162,60;Pesos Ley;1983;1
3.603.990,00;Pesos Ley;1982;4
1.170.540,00;Pesos Ley;1982;3
866.172,00;Pesos Ley;1982;2
983.256,00;Pesos Ley;1982;1
771.371,90;Pesos Ley;1981;4
659.142,00;Pesos Ley;1981;3
299.567,00;Pesos Ley;1981;2
273.871,00;Pesos Ley;1981;1
303.740,00;Pesos Ley;1980;4
283.122,00;Pesos Ley;1980;3
207.159,00;Pesos Ley;1980;2
193.407,00;Pesos Ley;1980;1
137.430,00;Pesos Ley;1979;4
86.328,00;Pesos Ley;1979;3
64.693,00;Pesos Ley;1979;2
52.162,00;Pesos Ley;1979;1
44.204,00;Pesos Ley;1978;4
33.960,00;Pesos Ley;1978;3
31.089,00;Pesos Ley;1978;2
23.272,00;Pesos Ley;1978;1
17.152,00;Pesos Ley;1977;4
13.160,00;Pesos Ley;1977;3
11.747,27;Pesos Ley;1977;2
8.758,74;Pesos Ley;1977;1
6.866,24;Pesos Ley;1976;4
7.306,99;Pesos Ley;1976;3
9.144,53;Pesos Ley;1976;2
